"Obsolète","Code terrain","Toponyme","Type","Date creation","Dernière modification","Date validation","Position","Latitude","Longitude","Altitude","Consignes","Nombre de pistes","Nature première piste","Axe préférentiel première piste","Largeur première piste","Longueur première piste","Orientation première piste","Nature deuxième piste","Axe préférentiel deuxième piste","Largeur deuxième piste","Longueur deuxième piste","Orientation deuxième piste","Radio","Carburant","Facilités","Facilités en clair","Email de contact","Téléphone","Informations complémentaires"
"","LF2628","Etoile Rhône","Base ULM Accès privé","11/07/2011","26/12/2015","23/02/2016","44.82995867219, 4.868874549865723","N 44 49 48","E 004 52 08","377 ft","Éviter le survol d?Étoile, tour de piste à l'ouest de l'autoroute.Lignes électriques au sud du terrain.","1","herbe","'20","20","300","'02-20","herbe","","","","'Inconnue","123.500","","","","folairvanne@free.fr","+33 4 75 60 76 95",""
"","LF2629","Ratières Les Allandaines","Base ULM Autorisation OBLIGATOIRE ","4/12/2011","26/12/2015","23/02/2016","45.166063037494894, 4.979145526885986","N 45 09 58","E 004 58 45","886 ft","18 préférentielle au décollage, 36 préférentielle à l'atterrissageATTENTION : Ligne électrique au seuil 18 (hauteur 6m).Donc, par vent du sud, bien visualiser la ligne entre les poteaux peints (rouge/blanc)...","1","herbe","'36","30","200","'18-36","herbe","","","","'Inconnue","Auto-info 123.5","sur préavis","2,5","Hangar possible, Camping possible","","+33 4 75 45 15 53","Contacter propriétaire et président de TOUR'AIR ULM:Gérard OGER: 04 75 45 15 53"
"","LF2651","Base ULM Anthony Delluc","Base ULM Autorisation OBLIGATOIRE ","27/08/2011","26/12/2015","23/02/2016","45.012017847875, 5.08392333984375","N 45 00 43","E 005 05 02","656 ft","particularité : on pose face au hangar en piste 12on décolle sens inverse en piste 30Eviter le survol des maisons au décollage, piste délicate avec du vent contacter Claude Delluc au 06 07 96 65 30","1","herbe","'12","30","300","'12-30","herbe","","","","'Inconnue","auto-info 123.5","","6,2,4","Restauration à proximité, Hangar possible, Gîte à proximité","info@ulmevasion26.com","+33 6 07 96 65 30",""
"oui","LF2652","Serre Mottaire","Altisurface fermée","8/03/2011","6/12/2013","10/12/2013","44.712222, 5.691667","N 44 42 44","E 005 41 30","5000 ft","Se renseigner avant d'envisager d'y atterrir. Piste rudimentaire. Il faut un appareil avec des bonnes suspensions.  Ne pas s'écarter de la piste ! Atterrissage en 36, décollage en 18.","1","herbe","'36","25","440","'18-36","","","","","","","","","","","+33 4 92 58 51 81","Altisurface située sur la face Sud de la Serre Mottaire. Uniquement ouverte du 25 octobre au 10 juin (pâturages en été) !Se rapprocher de l'AFPM http://www.afpm.fr pour plus de renseignements."
"oui","LF2653","Ratières","Base ULM fermée définitivement","3/12/2011","17/06/2012","4/07/2012","45.166123552765086, 4.978952407836914","N 45 09 58","E 004 58 44","800 ft","Atterrissage préférentiel en 36 LDA 200m Petit fossé en amont du seuilLigne de 7m au seuil 18.18 seuil décalé, LDA 150m.","1","herbe","","30","200","'18-36","","","","","","","5 Km","6,2,4,5","Restauration à proximité, Hangar possible, Gîte à proximité, Camping possible","","+33 4 75 45 15 53","Contacter le propriétaire et Président de TOUR'AIR ULM: Gérard OGER 04 75 45 15 53Ce terrain est identique à LF2629"
"oui","LF2654","ETOILE SUR RHONE","Base ULM Autorisation OBLIGATOIRE ","7/04/2013","7/04/2013","9/04/2013","44.829654663196, 4.868814943594316","N 44 49 47","E 004 52 08","377 ft","","1","herbe","'20","20","250","'02-20","","","","","","123.5","","","","folairvanne@free.fr","+33 4 75 60 76 95",""
"","LF2655","Saint Martin","Base ULM Accès privé","29/09/2014","26/07/2016","28/07/2016","44.588052846558114, 5.541366259256961","N 44 35 17","E 005 32 29","3205 ft","Eviter le survol des villages de Lesches en Diois et Beaurières.Ne pas rouler ni stationner en dehors des zones baliséesPiste adaptée à des machines  STOL équipées de pneus basse pression.Précautions à prendre à par vent fort et/ou température élevée.","1","herbe","","15","300","'16-34","herbe","","","","'Inconnue","130.0","Sur demande","6,4,5","Restauration à proximité, Gîte à proximité, Camping possible","club.ulm.haut.diois@gmail.com","+33 4 75 21 44 61","Pente 2% montante vers le NOFossé de part et d'autre de la piste au premier tiers ouest de la piste balisé par cônes rouges.Par régime d'Est et Sud, présence possible de parapentes le long de la montagne du Puy. Atterrissage des parapentes dans la partie NO de la piste (seuil 16)Chambres et table d'hôte 'La Cupidone' dans le village : www.lacupidone.frRestaurant  saisonnier 'le bistrot' au village : 04 75 21 46 21"
"","LF2721","Saint Cyr La Campagne","Aérodrome privé. Pas de visiteurs.","16/11/2011","24/12/2015","27/01/2016","49.25310062487, 1.0287666320800781","N 49 15 11","E 001 01 44","370 ft","Visiteurs non désirés.Piste courte, style porte-avion.","1","dur","","0","540","'04-22","herbe","","","","'Inconnue","auto-info 123.5","","","","","","Mr Mathiot Jean pilote et retraité (tél sur liste rouge).Certains pilotes nous ont remontés l'info qu'il accueille les pilotes de passage non autorisés à coup de fusil, ou bien les chiens sont lâchés ...."
"","LF2722","Berville sur Mer","Base ULM ouverte tous types","8/03/2011","23/04/2017","24/04/2017","49.435833, 0.3636109999999917","N 49 26 09","E 000 21 49","16 ft","","1","herbe","","","","'08-26","herbe","","","","'Inconnue","","","","","","",""
"","LF2723","Breuilpont","Base ULM Autorisation OBLIGATOIRE ","8/03/2011","5/12/2015","9/12/2015","48.959866156203, 1.4383759153442952","N 48 57 36","E 001 26 18","312 ft","Atterissage obligatoire en 12","1","herbe","'12","0","300","'12-30","herbe","","","","'Inconnue","","","","","","+33 2 32 36 31 39",""
"","LF2751","Les Noyers","Base ULM Autorisation OBLIGATOIRE ","25/09/2011","24/12/2015","27/01/2016","49.259794955262, 1.661360263824463","N 49 15 35","E 001 39 41","328 ft","Tours de piste au Nord sur la 24/06 et à l'Est sur la 15/33 400FT QFE.","2","herbe","","25","400","'06-24","herbe","","20","400","'15-33","123.45","","","","","+33 6 80 88 24 34","Base ULM 3Axes, pendulaires, giros, paramoteurs."
"","LF2752","Cesseville Ferme des Moulins","Aérodrome Privé Ouvert aux ULM","8/03/2011","20/08/2017","21/08/2017","49.17826894394, 0.9964688597784743","N 49 10 42","E 000 59 47","485 ft","Tour de piste: avion 700 ft/sol / ULM 500 ft/sol. Aérodrome situé sous la TMA d'Evreux.","1","herbe","","40","600","'07-25","herbe","","","","'Inconnue","123.500","","","invalid","nidailes@orange.fr","+33 6 07 76 07 96","PPR : Accès sous autorisation du gestionnaire (voir plus haut). Accès libre aux pilotes basés. piste longueur 550 m en 07: cause chemin C3 au seuil 07)contact : Mr Jacques Llavador mobile 06 10 82 30 83"
"","LF2753","Val de Reuil","Base ULM Accès privé","30/07/2011","21/05/2017","22/05/2017","49.281468271153194, 1.231369972229004","N 49 16 53","E 001 13 53","33 ft","Verticale terrain à 300 m/sol. Circuit Est (coté Seine) à 150 m/sol. Après de fortes précipitations, éviter le tiers Sud de la piste !","2","herbe","'36","50","600","'18-36","herbe","","50","400","'03-21","123.5","station a 3 km","5","Camping possible","calhn@free.fr","+33 6 87 81 12 46","Aérodrome en bordure de la CTR de Rouen, de classe D,  contact : Rouen APP 118.575.Attention au point Sierra (écluses de Poses, 3km au Nord) situé à l'intérieur de la CTR de Rouen, nombreux avions en transit. Survols interdits : de la prison de Val de Reuil, du centre nautique, de la gare SNCF et de la réserve ornithologique."
"oui","LF2756","LF2754","Base ULM Autorisation OBLIGATOIRE ","5/04/2012","5/04/2012","23/12/2012","49.287842231625, 0.6240949575333161","N 49 17 16","E 000 37 27","328 ft","","1","herbe","'03","22","315","'03-21","","","","","","Auto-info 123.5","","","","tranchant.richard@wanadoo.fr","","TEL PRP 0674149543"
"","LF2822","Champrond Le Petit Bois Landry","Aérodrome Privé Ouvert aux ULM","31/10/2011","24/12/2015","25/01/2016","48.393792233174, 1.0574984550476074","N 48 23 38","E 001 03 27","853 ft","Verticale terrain obligatoire à 1400 ft ASFC. Tour de pistes : pour la piste 05R/23L de 600m Gauche en 23 et Droite en 05piste 05L/23R de 150m : Droite en 23 et Gauche en 05.En l'absence de manche à air, ne pas se poser.","2","herbe","","21","600","'05-23","herbe","","20","150","'05-23","123.500","","","","","+33 2 37 49 86 23","Aérodrome privé. PPR : Pour les avions, autorisation écrite obligatoire du gestionnaire pour utilisation de l'aérodrome (norme administrative légale pour que la Préfecture vous ajoute sur la liste des pilotes autorisés après avis de la DSAC, de la Police de l'Air, des Douanes)Procédure identique pour les ulms pour bénéficier de la « mise à disposition » de notre aérodrome."
"","LF2823","Loulappe","Aérodrome Privé Ouvert aux ULM","19/10/2011","21/10/2016","23/10/2016","48.438397556039, 1.2744998931884766","N 48 26 18","E 001 16 28","577 ft","Tour de piste à l'ouest 500 ft solLégère montée en 36","1","herbe","","15","500","'18-36","herbe","","","","'Inconnue","123.55","","","","","+33 6 09 90 91 89","ligne à haute tension à proximité"
"","LF2825","Santilly","Aérodrome Privé Ouvert aux ULM","28/09/2011","18/07/2016","22/07/2016","48.158843186973, 1.8533849716186523","N 48 09 32","E 001 51 12","425 ft","Tours de piste côté ouest.Présence d'un hangar à proximité du seuil 36 et d'une manche à air. Champs cultivés dégagés en prolongement des 2 QFU.Attention : 2 lignes haute tension proches à 900m à l'ouest et diverses éoliennes à l'est de l'autoroute.","1","herbe","","40","750","'18-36","herbe","","","","'Inconnue","123.5","","","","","+33 2 37 90 07 11","PPR au propriétaire et exploitant.Piste en herbe très proche (100m) de l'autoroute Paris-Orléans et parfaitement parallèle à elle.Activité de voltige le weekend et JF.Créateur de ce terrain Fernand RichardBon état d'entretien, fiable. "
"","LF2827","Fontaine Simon","Aérodrome Privé Ouvert aux ULM","19/10/2011","24/12/2015","25/01/2016","48.50686139546237, 0.9924906243218174","N 48 30 25","E 000 59 33","689 ft","Aérodrome privé, PPR à Mr Mercier. Tour de piste côté Nord: à gauche en 06 et à droite en 24.Survol interdit des Maisons Rouges et des hameaux.","1","herbe","","30","1000","'06-24","herbe","","","","'Inconnue","123.50","","","","Frederick.Mercier@wanadoo.fr","+33 6 10 34 62 60",""
"","LF2829","Voves Viabon","Aérodrome Privé Ouvert aux ULM","13/07/2011","9/04/2017","10/04/2017","48.211104568672, 1.6733336448669434","N 48 12 40","E 001 40 24","476 ft","ULM : Tour de piste à 330 ft à l'ouest. Avions : Tour de piste à 1000 ft à l'est.","1","herbe","'36","40","1000","'18-36","herbe","","","","'Inconnue","123.45","","4","Gîte à proximité","service.commercial@jabiru.fr","+33 6 07 86 46 96","Aérodrome privé, PPR : appel téléphonique obligatoire avant de venir."
"","LF2830","Ecrosnes","Base ULM Autorisation OBLIGATOIRE ","23/11/2011","24/12/2015","25/01/2016","48.560903050842, 1.7305183410644531","N 48 33 39","E 001 43 50","515 ft","TDP au NE à 1000 ft. VERTICALE 1500 ft.Seuil décalé à 85m pour la piste 31 et à 60 m pour la piste 13. Par vent d'ouest, turbulences au niveau du bois. Radio conseillée.","1","herbe","'13","22","320","'13-31","herbe","","","","'Inconnue","auto-info 123.5","","","","teameurostar@gmail.com","+33 6 60 70 93 02","OUVERT AUX VISITEURS"
"oui","LF2831","Brou La-Bretonnière","Base ULM Accès privé","7/10/2011","5/08/2015","22/11/2015","48.238344321285, 1.1669325828552246","N 48 14 18","E 001 10 01","577 ft","","1","herbe","'21","30","350","'03-21","herbe","","","","'Inconnue","123.5","","","","","+33 2 37 47 06 86",""
"","LF2834","Les Ailes d'Eure et Loir","Aérodrome Privé Ouvert aux ULM","31/10/2011","11/03/2017","12/03/2017","48.59230130713, 1.5376076507568541","N 48 35 32","E 001 32 15","480 ft","Aérodrome privé.Tour de piste au Nord-est, 1000 ft QNH.Seuil décalé en 15.Paramoteurs secteur Sud.","1","herbe","'33","40","560","'15-33","herbe","","","","'Inconnue","auto-info 123.5","","","","mbriffaud@free.fr","+33 6 80 92 02 62","Terrain privé à usage limité aux aéronefs basées, l'accès à ce terrain (avions ou Ulm) est assujetti d'une demande préalable au président par tél 06 80 92 02 62 ou mail : mbriffaud@free.frÉviter systématiquement le survol de Néron et du hameau de Bois-Richeux.Présence de drones civils à proximité du terrain.Passage peu fréquent de sangliers et présence de taupinières. S'assurer de l'état de la piste avant l'atterrissage."
"","LF2851","Houville La Branche","Base ULM Autorisation OBLIGATOIRE ","19/10/2011","9/04/2017","10/04/2017","48.453118036938, 1.6298604011535645","N 48 27 11","E 001 37 47","496 ft","Respecter 1000 ft en verticale terrain à l'arrivée.Tour de piste à 500 ft au nord.Survol de HOUVILLE et des trois villages situés en tour de piste interdit. Faire l'étape de base ou la branche traversière avant le chemin parallèle à la départementale.","1","herbe","'08","50","450","'08-26","herbe","","","","'Inconnue","123.55","","","","espace-houville-ulm@orange.fr","+33 2 37 25 75 43",""
"","LF2853","Le Gault St Denis","Base ULM Autorisation OBLIGATOIRE ","30/10/2011","24/12/2015","25/01/2016","48.218446647927, 1.4962005615234375","N 48 13 06","E 001 29 46","446 ft","circuit à 150m/sol à l'est Atterrissage QFU 18 : 450m Atterrissage QFU 36 : 300m seuil décalé Survol du village et Hameau interdit.","1","herbe","","24","450","'18-36","herbe","","","","'Inconnue","123.5","sur demande","6,2,4","Restauration à proximité, Hangar possible, Gîte à proximité","","+33 6 08 47 17 00","Hangar suivant disponibilité"
"","LF2854","La Saussaye","Base ULM Accès privé","18/06/2011","9/04/2017","10/04/2017","48.412382540335, 1.5539002418518066","N 48 24 45","E 001 33 14","495 ft","Tour de piste 150 m par le NW. Survol du bois et de la ferme interdit, ainsi que des villages de Bonville, Brétigny, Gellainville.","1","herbe","","20","450","'03-21","herbe","","","","'Inconnue","","","","","jp.riou@wanadoo.fr","+33 2 37 35 19 71",""
"","LF2855","La maison des pionniers","Base ULM Accès privé","3/12/2011","24/12/2015","25/01/2016","48.8243063907462, 1.58378005027771","N 48 49 28","E 001 35 02","360 ft","Terrain privé : PPR : permission préalable obligatoire. Éviter absolument le survol de toute habitation (problèmes de voisinage !)","1","herbe","","0","450","'13-31","herbe","","","","'Inconnue","auto-info 123.5","","","","bernard.afchain@cegetel.net","+33 6 07 16 69 13","PLATEFORME INCLUSE DANS UNE ZONE REGLEMENTEE ACTIVEE PAR NOTAM. EN CAS D'ACTIVATION DE LA ZONE LE SURVOL DE LA PLATEFORME EST FORTEMENT DECONSEILLE"
"","LF2856","Le Buternay","Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ","8/03/2011","4/06/2017","6/06/2017","48.612024708192, 0.8419869153442505","N 48 36 43","E 000 50 31","522 ft","","1","herbe","","30","620","'17-35","herbe","","","","'Inconnue","Auto info 123.5","","","","christophehoud@gmail.com","+33 6 58 22 38 21","ACCES Strictement interdit sauf autorisation du propriétaire"
"","LF2857","Paramoteur Paris Ouest","Base Paramoteurs Privée Ouverte aux ULM sur autorisation","26/09/2011","24/12/2015","25/01/2016","48.767419656375, 1.5406179428100586","N 48 46 03","E 001 32 26","433 ft","","1","herbe","","100","200","'omnidir","herbe","","","","'Inconnue","Auto info 123.5","","6","Restauration à proximité","paramoteurparisouest@gmail.com","+33 6 89 88 19 55","Ecole paramoteur Adventure Paris OuestPiste homologuée uniquement classe paramoteurGestionnaire : Luc de Tilly 0689881955"
"","LF2858","club du Houssay","Base ULM Accès privé","19/11/2011","24/12/2015","25/01/2016","48.227006869365, 1.3851971820074596","N 48 13 37","E 001 23 07","429 ft","TDP à l'est, éviter les pistes à chevaux.Atterrissage en 36 : seuil décalé de 50m, faire attention à l'atterrissage nord, nord/est, il y a des rabattants avec le bois. Verticale 1000 pieds, par vent nul ou traversier, préférentielle pour att 18.","1","herbe","'18","40","304","'18-36","herbe","","","","'Inconnue","Auto-info 123.5","","","","mestro28ef@wanadoo.fr","+33 1 06 14 57 08 30","Survols de Montboissier et de St-Germain interdits pour cause de nuisances.PPR obligatoire : 06 14 57 08 30. Réservé aux actifs basés et à ceux invités. Tour de piste 650 ft à l'EST des installations, que ce soit en 18 ou en 36, en éloignement des pistes à chevaux. NOUVELLE PISTE A PROXIMITE DE LA RN10.  "
"","LF2859","Les Ailes d'Horus","Base Paramoteurs Privée Ouverte aux ULM sur autorisation","28/10/2011","24/12/2015","25/01/2016","48.492207895459224, 1.7631769180297852","N 48 29 32","E 001 45 47","501 ft","PARAMOTEURS","1","herbe","","120","140","'omnidir","herbe","","","","'Inconnue","","","6","Restauration à proximité","romain.biegnon@dbmail.com","+33 6 87 61 60 29","Tous les jours de 9h30 à 12h30 (sur RDV)& de 14h30 au coucher du soleilLe terrain  homologué EXCLUSIVEMENT PARAMOTEUR.Sens d?atterrissage et de décollage omnidirectionnel.La plateforme est réservée aux paramotoristes.Survol interdit des agglomérations et des hameaux environnants"
"","LF2860","Plein Ciel Paramoteur","Base Paramoteurs Privée Ouverte aux ULM sur autorisation","28/10/2011","24/12/2015","25/01/2016","48.604567059722, 1.5868806838989258","N 48 36 16","E 001 35 13","439 ft","Paramoteur uniquement","1","herbe","","70","340","'omnidir","herbe","","","","'Inconnue","","","6","Restauration à proximité","perle@paramoteur.pro","+33 6 03 78 34 22","Sens d?atterrissage et de décollage omnidirectionnel pour le paramoteur uniquementHoraire été10h à 12h16h à 22hHoraire hivers10h à 12h15h à 18h"
"","LF2921","Plouarzel","Base ULM Accès privé","19/11/2011","27/01/2017","29/01/2017","48.422593929925, -4.696958786602636","N 48 25 21","W 004 41 49","400 ft","Présence d'aéromodélismefaire verticale pistepriorité donnée aux ULM","1","herbe","","15","300","'08-26","herbe","","","","'Inconnue","123.50","","5","Camping possible","hamonetpatrick@bbox.fr","+33 9 60 44 22 71","Merci d'appeler avant de venir. Tel : 06 95 09 96 15"
"","LF2922","Poullaouen Le Stancou","Base ULM Autorisation OBLIGATOIRE ","1/07/2011","17/10/2016","19/10/2016","48.357204344073, -3.6632752418518066","N 48 21 26","W 003 39 48","492 ft","Tour de piste main gauchePar vent fort d'ouest et d'est, rabattants créés par les arbres bordant la piste.Légèrement descendante QFU 34","1","herbe","'16","40","430","'16-34","herbe","","","","'Inconnue","radio  123.5","à 14 km Carhaix","2,4,5","Hangar possible, Gîte à proximité, Camping possible","laurent@plassart.net","+33 6 08 94 87 46","Contact du gestionnaire : TEL : 06.08.94.87.46  SMS : 07 61 46 29 07"
"","LF2923","Querlarn Plobannalec Lesconi","Base ULM Accès privé","8/03/2011","24/12/2015","21/01/2016","47.818529517923, -4.250174548890982","N 47 49 07","W 004 15 01","49 ft","Tour de piste au Sud à 600ft, verticale 1500ftPar vent de secteur Nord, posibilité de turbulences sur la piste.","1","herbe","","40","490","'09-27","herbe","","","","'Inconnue","Auto-info 123.5","à Plobalannec","6,2,4,5","Restauration à proximité, Hangar possible, Gîte à proximité, Camping possible","","+33 2 98 87 02 07","Prendre contact avec Claude Buhannic avant toute intention de poser."
"","LF2925","Le Grand Chêne","Base Paramoteurs Libre Ouvert aux ULM Autorisation OBLIGATOIRE ","24/10/2014","24/12/2015","21/01/2016","48.340248552172, -3.7147783915202126","N 48 20 25","W 003 42 53","450 ft","","1","herbe","","100","150","'omnidir","herbe","","","","'Inconnue","","","5","Camping possible","","+33 2 98 99 97 78",""
"","LF2B24","domaine Aliso Rossi","Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ","21/03/2017","7/04/2017","8/04/2017","42.646845157731, 9.288079669836407","N 42 38 49","E 009 17 17","49 ft","Le TDP se fait à l'ouest du terrain.","1","herbe","'35","15","200","'17-35","herbe","","","","'Inconnue","","sur demande","3,5","Restauration sur place, Camping possible","jean-luc@le-duo.fr","+33 6 11 49 19 97","Atterrissage :la piste est concave et très courte à cause de la haie de 1,50m en entrée 35.le posé en 17 est interdit.décollage :choisir la partie à droite de la 35 dégager à droite au plus tôt (arbres à proximité et ligne haute tension dans la vallée à 1km au nord)"
"oui","LF3021","Mas le Comte","Base ULM fermée définitivement","8/03/2011","8/03/2011","10/12/2013","43.916667, 4.233056","N 43 55 00","E 004 13 59","","plateforme supprimée","1","herbe","","","","'Inconnue","","","","","","","","","","","",""
"","LF3023","Tornac","Aérodrome Privé Interdit aux ULM Autorisation OBLIGATOIRE ","8/03/2011","25/12/2015","4/02/2016","44.01223765913276, 3.963354791005486","N 44 00 44","E 003 57 48","690 ft","Utilisation interdite.Atterrissage obligatoire en 36, décollage en 18","1","herbe","'36","","","'18-36","herbe","","","","'Inconnue","","","3,6,4","Restauration sur place, Restauration à proximité, Gîte à proximité","le@domainebaruel.com","+33 4 66 77 54 03","Propriétaire : http://www.domainebaruel.com"
"oui","LF3024","Les Baumes Vissec Alzon","Base ULM fermée définitivement","8/03/2011","7/12/2013","10/12/2013","43.87861111111111, 3.438055555555593","N 43 52 43","E 003 26 17","2362 ft","Position GPS (IGN, non WGS) mi-piste: N43° 52' 43'  E003° 26' 17'.","1","herbe","","","600","'04-22","","","","","","","","","","","",""
"","LF3025","Remoulins","Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ","8/03/2011","15/09/2015","4/04/2016","43.94720707947503, 4.588417992061964","N 43 56 50","E 004 35 18","105 ft","Circuit à l'est de la piste, plateforme privée. Présence possible de paramoteurs.","1","herbe","","20","200","'01-19","herbe","","","","'Inconnue","123.5","","","","","","Pour des raisons d'assurance, l'exploitant ne peut accueillir de visiteurs sur sa plateforme. Il est inutile de le contacter pour une autorisation."
"","LF3026","Montcalm","Base ULM Accès privé Utilisation EPISODIQUE ","30/04/2011","25/12/2015","4/02/2016","43.571571327972, 4.301323344246157","N 43 34 18","E 004 18 05","10 ft","Radio + transpondeur obligatoires.DANS LA CTR D'ISTRES","1","herbe","","40","450","'02-20","herbe","","","","'Inconnue","","","","","malizair.ulm@gmail.com","+33 4 68 21 34 14","Plateforme utilisée de manière épisodique (3 mois par an)"
"","LF3052","Saint Victor","Base ULM Accès privé","24/10/2011","12/09/2017","14/09/2017","44.0353442471824, 4.473516941070557","N 44 02 07","E 004 28 25","430 ft","QFU 01 pour cause voisinage à proximité vent arrière main gauche et passage en base en limite du village de Saint-Siffret. Piste visible grâce à des cônes blancs présents sur toute sa longueur. Manche à air en bout de QFU 19 sur le coté gauche.","1","herbe","'01","25","300","'01-19","herbe","","","","'Inconnue","123.5","non","6,4","Restauration à proximité, Gîte à proximité","frederic.cuisson@orange.fr","+33 6 13 01 05 97","Prévenir les personne responsables de la plateforme. À usage privé cause administrative, nombre d'appareils limité cause voisinage."
"","LF3053","Le Grand Plantier","Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ","30/10/2016","10/09/2017","12/09/2017","43.82281290442603, 4.126095090666809","N 43 49 22","E 004 07 34","300 ft","Posé en 12, Décollage en 30.Ne pas survoler le village de Souvignargues","1","herbe","'12","20","400","'12-30","herbe","","","","'Inconnue","","","4","Gîte à proximité","i.2.e@wanadoo.fr","+33 6 22 76 30 43","Faire attention après fortes pluies"
"oui","LF3121","Buzet sur Tarn","Aérodrome privé fermé définitivement.","8/03/2011","26/06/2015","18/08/2015","43.768056, 1.6050000000000182","N 43 46 05","E 001 36 18","","","1","herbe","","","500","'14-32","herbe","","","","'Inconnue","","","","","","",""
"oui","LF3123","Nailloux","Base ULM ouverte tous types","8/03/2011","25/12/2015","15/02/2016","43.36947117062538, 1.5762807619019004","N 43 22 10","E 001 34 35","656 ft","","1","herbe","","","","'14-32","herbe","","","","'Inconnue","","","","","","","pas évident sur google earth, au 16 sept.2015"
"oui","LF3125","Rieux ","Base ULM fermée définitivement","8/03/2011","8/02/2015","17/07/2015","43.226667, 1.184167","N 43 13 36","E 001 11 03","900 ft","Terrain fermé.La piste est à nouveau cultivée. Ne pas atterrir.","1","herbe","","","280","'09-27","herbe","","","","'Inconnue","","","","","","+33 5 61 97 09 26",""
"","LF3126","Sabonnères","Aérodrome Privé Ouvert aux ULM","8/03/2011","23/08/2017","24/08/2017","43.454601281905, 1.074199367706342","N 43 27 17","E 001 04 27","1050 ft","Aérodrome en pente montante vers l'ouest. Circuit au sudTurbulences en finale 27 lorsqu'il ya du vent, cause présence d'arbres.Seuil décalé 180m au QFU 09 matérialisé par des balises","1","herbe","'27","30","600","'09-27","herbe","","","","'Inconnue","123.5","Non","6,2,4","Restauration à proximité, Hangar possible, Gîte à proximité","jacques@darolles.com","+33 6 71 28 34 22","Terrain privé. Utilisation soumise à autorisation et à inscription sur une liste déposée à la Préfecture. Contacter le club pour cela.Remplir le registre de passage dans la boîte aux lettres.La bande très claire est une piste d'aéromodélisme, et attention, elle a déjà été confondue avec la piste principale.Hotel restaurant les Palmiers Rieumes ( 6 km) tél 05 61 91 81 01"
"oui","LF3127","Toulouse Montaudran","Aérodrome fermé.","8/03/2011","8/03/2011","9/12/2013","43.570833, 1.4794440000000577","N 43 34 15","E 001 28 46","","Ce terrain est réservé à l'usage des avions d'Air France, et de l'Aéro Club basé.","1","herbe","","","","'Inconnue","","","","","","","","","","","",""
"","LF3128","Bois de la Pierre","Base ULM Autorisation OBLIGATOIRE ","8/11/2011","25/12/2015","8/02/2016","43.341815491391, 1.1436617374420166","N 43 20 31","E 001 08 37","840 ft","Le chemin qui mène au hangar traverse la piste en herbe, mais le passage est nivellé, on peut donc traverser sans crainte.","1","herbe","","25","700","'13-31","herbe","","","","'Inconnue","123.5","Aucun","","","varga.jm@orange.fr","+33 5 61 87 84 47","Ce terrain est essentiellement utilisé par des autogires, du Gyro club Toulousain. Président : Mr JeanMarie Varga.Propriétaire de la plate-forme : Mr Cena. http://www.averso.infohttp://autogyre.free.fr/actuali/actua2.htm http://www.autogire.com/"
"","LF3129","Pene de Soulit","AltiSurface en service ","8/03/2011","11/10/2016","12/10/2016","42.792937427765345, 0.4624946355819475","N 42 47 35","E 000 27 45","6240 ft","Utilisable en toutes saisons à forte pente et à profil convexe, aussi bien sur sol nature que sur neige. Utilisation dangereuse par vent de secteur Sud. Radio pour info trafic Montagne 130.0","1","herbe","'09","20","150","'09-27","herbe","","","","'Inconnue","130.000/118.750","","","","contact@aeroluchon.fr","+33 5 61 79 00 48","Avions : Qualification Montagne requise.ULM : Libre d'accès mais Label Montagne FFPLUM recommandé (FNVM)PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter l'Association des Pilotes Pyrénéens de Montagne / APPM au  06 19 04 28 25 - 05 61 66 11 00 06mail : alain.butet@free.frSite :http://www.appm.fr/"
"","LF3130","Uls","AltiSurface en service ","8/03/2011","25/02/2016","29/02/2016","42.851944444444, 0.8488889999999856","N 42 51 07","E 000 50 56","6568 ft","Utilisable uniquement par neige avec des skis. Sol naturel. Sens d'atterrissage au choix : vers l'est ou vers l'ouest. Reconnaissance verticale à la fois sur les 2 versants. Pente plus forte côté est. Le tour de piste s'effectue près du ru","1","neige","","50","200","'09-27","herbe","","","","'Inconnue","","","","","","+33 5 61 66 11 00","Avions : Qualification Montagne requise.ULM : Libre d'accès. Des infos peuvent être obtenues à l'Aéro-club de Luchon.PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668."
"","LF3131","Cap de Barres","AltiSurface en service ","8/03/2011","25/02/2016","29/02/2016","42.864219866977095, 0.5160075608520174","N 42 51 51","E 000 30 58","5798 ft","Altisurface pente moyenne de 10%, longueur disponible environ 200m. Utilisable en toutes saisons : - Sur sol naturel ATTERRISSAGE Difficile - Sur sol enneigé ATTERRISSAGE Facile. Atterrissage en 27, chemin près du seuil de piste.","1","terre","'27","50","250","'09-27","herbe","","","","'Inconnue","","","","","","+33 5 61 79 00 48","Avions : Qualification Montagne requise.Libre d'accès pour les ULM.PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668."
